Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Derek Carr,SCOT,OAK,QB,@TB,W 30-24,40/59,513.0,4.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.7
Aaron Rodgers,NOG,GNB,QB,@Atl,L 32-33,28/38,246.0,4.0,0.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.8
Tom Brady,WA (Wed),NWE,QB,@Buf,W 41-25,22/33,315.0,4.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1
Blake Bortles,BLRT,JAC,QB,@Ten,L 22-36,33/54,337.0,3.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.6
Dak Prescott,WA (Wed),DAL,QB,Phi,W 29-23,19/39,287.0,2.0,1.0,7.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2
Matt Ryan,NOG,ATL,QB,GB,W 33-32,28/35,288.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3
Kirk Cousins,LOS,WAS,QB,@Cin,T 27-27,38/56,458.0,2.0,1.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1
Carson Palmer,GARI,ARI,QB,@Car,L 20-30,35/46,363.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.4
Drew Brees,DAN,NOR,QB,Sea,W 25-20,27/35,265.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7
Josh McCown,WA (Wed),CLE,QB,NYJ,L 28-31,25/49,341.0,2.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.6
Marcus Mariota,WA (Wed),TEN,QB,Jax,W 36-22,18/22,270.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9
Andy Dalton,GARI,CIN,QB,Wsh,T 27-27,27/42,284.0,1.0,1.0,4.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.3
Jameis Winston,WA (Wed),TAM,QB,Oak,L 24-30,16/32,180.0,2.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.8
Andrew Luck,LOS,IND,QB,KC,L 14-30,19/35,210.0,2.0,1.0,9.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.4
Tyrod Taylor,BKN,BUF,QB,NE,L 25-41,19/38,183.0,0.0,0.0,5.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
