Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Cam Newton,BKN,,CAR,QB,Min,L 10-22,18.2/31.2,221.8,1.8,0.8,8.3,45.7,0.4,0.0,0.0,0.0,,,,,,21.2
Aaron Rodgers,NOG,,GNB,QB,Det,W 34-27,21.6/33.5,265.1,2.2,0.5,3.2,15.4,0.1,0.0,0.0,0.0,,,,,,20.3
Russell Wilson,FUNK,,SEA,QB,SF,W 37-18,18.8/29.5,238.2,1.8,0.4,6.2,32.5,0.2,0.0,0.0,0.0,,,,,,19.8
Andrew Luck,LOS,,IND,QB,SD,W 26-22,23.2/38.2,274.8,2.2,1.2,4.0,18.4,0.1,0.0,0.0,0.0,,,,,,19.7
Philip Rivers,FUNK,,SDG,QB,@Ind,L 22-26,26.5/38.7,314.5,2.0,0.8,1.4,4.3,0.0,0.0,0.0,0.0,,,,,,19.4
Drew Brees,APE,,NOR,QB,Atl,Mon 8:30,27.5/40.3,314.4,2.1,1.0,1.4,2.7,0.1,0.0,0.0,0.0,,,,,,19.3
Matt Ryan,NOG,,ATL,QB,@NO,Mon 8:30,27.2/38.4,331.9,1.8,0.9,1.9,6.8,0.1,0.0,0.0,0.0,,,,,,19.2
Ben Roethlisberger,LOS,,PIT,QB,@Phi,L 3-34,24.9/37.3,294.2,1.9,0.9,2.0,5.0,0.0,0.0,0.0,0.0,,,,,,18.2
Ryan Tannehill,WA (Wed),,MIA,QB,Cle,W 30-24,22.1/34.4,269.7,1.7,0.6,3.1,13.1,0.1,0.0,0.0,0.0,,,,,,18.1
Blake Bortles,SLIV,,JAC,QB,Bal,L 17-19,21.1/36.4,250.8,2.0,0.9,3.1,15.8,0.1,0.0,0.0,0.0,,,,,,17.7
Matthew Stafford,APE,,DET,QB,@GB,L 27-34,26.9/40.9,306.8,1.6,1.1,2.4,7.5,0.1,0.0,0.0,0.0,,,,,,17.5
Eli Manning,SLIV,,NYG,QB,Wsh,L 27-29,23.3/36,281.8,2.0,1.0,1.3,2.3,0.0,0.0,0.0,0.0,,,,,,17.5
Carson Palmer,GARI,,ARI,QB,@Buf,L 18-33,22.8/36.1,285.5,1.9,1.2,1.5,3.2,0.1,0.0,0.0,0.0,,,,,,17.3
Ryan Fitzpatrick,WA (Wed),,NYJ,QB,@KC,L 3-24,22.5/36.7,256.5,1.7,1.2,3.9,17.8,0.1,0.0,0.0,0.0,,,,,,17.0
Derek Carr,SCOT,,OAK,QB,@Ten,W 17-10,22/35.4,256.0,1.8,0.7,2.0,5.8,0.1,0.0,0.0,0.0,,,,,,16.7
Alex Smith,WA (Wed),,KAN,QB,NYJ,W 24-3,21.4/32.2,235.8,1.3,0.6,4.4,23.5,0.2,0.0,0.0,0.0,,,,,,16.5
Kirk Cousins,WA (Wed),,WAS,QB,@NYG,W 29-27,26.8/41.2,294.2,1.7,1.1,1.9,5.6,0.1,0.0,0.0,0.0,,,,,,16.5
Marcus Mariota,WA (Wed),,TEN,QB,Oak,L 10-17,21/32,243.7,1.5,1.0,4.6,25.4,0.2,0.0,0.0,0.0,,,,,,16.5
Tyrod Taylor,BKN,,BUF,QB,Ari,W 33-18,18.9/31.5,207.2,1.4,1.0,6.8,35.0,0.2,0.0,0.0,0.0,,,,,,16.2
Dak Prescott,WA (Wed),,DAL,QB,Chi,W 31-17,20.2/31.6,234.7,1.8,0.8,2.0,10.2,0.1,0.0,0.0,0.0,,,,,,16.2
Jameis Winston,WA (Wed),,TAM,QB,LA,L 32-37,18.7/32.6,212.7,1.6,0.7,4.0,16.0,0.2,0.0,0.0,0.0,,,,,,15.9
Joe Flacco,WA (Wed),,BAL,QB,@Jax,W 19-17,23.4/37.8,271.0,1.6,1.1,1.7,2.4,0.1,0.0,0.0,0.0,,,,,,15.5
Brian Hoyer,WA (Wed),,CHI,QB,@Dal,L 17-31,21.9/35.4,270.4,1.5,0.8,1.9,3.0,0.1,0.0,0.0,0.0,,,,,,15.5
Brock Osweiler,WA (Wed),,HOU,QB,@NE,L 0-27,23/37.7,275.5,1.5,1.1,3.0,5.8,0.1,0.0,0.0,0.0,,,,,,15.3
Carson Wentz,WA (Wed),,PHI,QB,Pit,W 34-3,22.8/37.3,262.9,1.4,1.2,2.8,10.7,0.1,0.0,0.0,0.0,,,,,,14.9
Andy Dalton,GARI,,CIN,QB,Den,L 17-29,20/33.1,205.8,1.4,0.9,3.9,12.9,0.1,0.0,0.0,0.0,,,,,,14.0
Jacoby Brissett,WA (Wed),,NWE,QB,Hou,W 27-0,19.8/34.9,199.1,1.7,1.5,3.4,16.3,0.1,0.0,0.0,0.0,,,,,,13.6
Cody Kessler,WA (Wed),,CLE,QB,@Mia,L 24-30,18.8/32.8,228.4,1.2,1.0,2.4,9.9,0.1,0.0,0.0,0.0,,,,,,13.0
Blaine Gabbert,WA (Wed),,SFO,QB,@Sea,L 18-37,22.4/38.4,236.3,1.0,1.3,4.3,13.5,0.1,0.0,0.0,0.0,,,,,,12.2
Sam Bradford,WA (Wed),,MIN,QB,@Car,W 22-10,22/35.5,226.6,1.1,1.0,1.9,4.5,0.1,0.0,0.0,0.0,,,,,,11.7
Case Keenum,WA (Wed),,LAR,QB,@TB,W 37-32,19.3/31.7,225.5,0.8,1.1,2.5,6.4,0.1,0.0,0.0,0.0,,,,,,10.8
Trevor Siemian,WA (Wed),,DEN,QB,@Cin,W 29-17,19.1/33.3,193.4,1.1,1.5,3.4,14.1,0.1,0.0,0.0,0.0,,,,,,10.7
Scott Tolzien,WA (Wed),,IND,QB,SD,W 26-22,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Chad Henne,WA (Wed),,JAC,QB,Bal,L 17-19,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brett Hundley,WA (Wed),,GNB,QB,Det,W 34-27,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
